,Heading,Summary,Category,Link,Timestamp
10,New Zealand govt features nude 'porn actors' in web safety ad to educate youth,"New Zealand government featured two naked actors as 'pornstars' in a TV advertisement to educate youngsters about internet safety. It shows them on the doorstep of a house asking a mother whether they could meet her son who's been 'watching them' online. ""There's a difference between what you see online and real-life relationships,"" the mother tells her son on consent.",Technology,/en/news/new-zealand-govt-features-nude-porn-actors-in-web-safety-ad-to-educate-youth-1592222057970,"2020-06-15,Monday"
11,Winning AI in Facebook's $1M deepfake detection contest scores 65% accuracy,"In Facebook's Deepfake Detection Challenge, the winning model achieved an average accuracy of 65.18%. With over 2,000 participants competing for $1 million prize, the contest saw more than 35,000 AI models attempting to detect deepfakes from a black box dataset of 10,000 videos, which were not shared with the entrants. Deepfakes are doctored videos that ""convincingly"" imitate real people.",Technology,/en/news/winning-ai-in-facebooks-$1m-deepfake-detection-contest-scores-65-accuracy-1592201038882,"2020-06-15,Monday"
12,"Pinterest's two policy officials resign alleging racial discrimination, retaliation","Two black women who worked in image-sharing website Pinterest's public policy team said they left after facing workplace racial discrimination. Ifeoma Ozoma said she was underpaid, doxxed by a white colleague, got ""inadequate"" company response and faced a retaliatory performance review. Her colleague, Aerica Shimizu Banks, alleged she faced disparaging remarks about her ethnicity from her manager.",Technology,/en/news/pinterests-two-policy-officials-resign-alleging-racial-discrimination-retaliation-1592279784451,"2020-06-16,Tuesday"
13,Apple patents glass coating technology to make iPhones more durable,"Apple has patented a new glass coating technology intended to make electronic devices more durable. The ""Spiral Grain Coatings"" could also account for anti-scratch and anti-reflection benefits. As per the patent, the coating layers applied on the glass structure of a device would be formed with polycrystalline materials, in which the grains will be implemented in an ""interlaced spiral"" format.",Technology,/en/news/apple-patents-glass-coating-technology-to-make-iphones-more-durable-1592203980154,"2020-06-15,Monday"
14,"WhatsApp payments launches in Brazil, allows payments without leaving chat",Facebook CEO Mark Zuckerberg on Monday announced that WhatsApp's payments service is launching in Brazil that will allow users to send money or make a purchase from a local business without leaving their chat. The payments on WhatsApp will be enabled by Facebook Pay. The payments will work by way of a six-digit PIN or fingerprint to complete transactions.,Technology,/en/news/whatsapp-payments-launches-in-brazil-allows-payments-without-leaving-chat-1592235424595,"2020-06-15,Monday"
15,Saudi wealth fund PIF to invest $1.5 bn in Jio Platforms for 2.33% stake: Report,"Saudi Arabia's sovereign wealth fund Public Investment Fund (PIF) is set to invest around $1.5 billion (nearly ₹11,000 crore) in Mukesh Ambani-led Jio Platforms for 2.33% stake, Gulf News reported. If the investment goes through, it will mark the eleventh deal closed by the RIL unit in recent weeks. Jio has sold 22.38% stake for ₹1,04,326.95 crore within eight weeks.",Technology,/en/news/saudi-wealth-fund-pif-to-invest-$15-bn-in-jio-platforms-for-233-stake-report-1592283007877,"2020-06-16,Tuesday"
16,"Ex-eBay execs charged with sending live cockroaches, 'bloody pig mask' to couple","Six former eBay employees, including its senior safety director, were charged in the US for ""cyberstalking"" the editor and publisher of an e-commerce newsletter viewed as ""critical"" of eBay. They allegedly sent the couple anonymous threats, live spiders, cockroaches, a funeral wreath and a ""bloody pig mask"", spied on the victims and ordered a ""preserved fetal pig"", which wasn't delivered.",Technology,/en/news/exebay-execs-charged-with-sending-live-cockroaches-bloody-pig-mask-to-couple-1592291281286,"2020-06-16,Tuesday"
17,Researchers create AI that makes blurry faces look over 60 times sharper,"Duke University researchers have created an artificial intelligence (AI) tool, which they claim turns ""blurriest"" photos into ""convincing"" computer-generated faces in HD. The tool can make blurry faces in photos look 64 times sharper. It works by searching through AI-generated images of HD faces until it finds ones that look like the input image when shrunk to the same size. ",Technology,/en/news/researchers-create-ai-that-makes-blurry-faces-look-over-60-times-sharper-1592110320718,"2020-06-14,Sunday"
18,"India, 12 others lead initiative to counter COVID-19 'infodemic'","India and 12 other countries are leading an initiative aimed at spreading fact-based content to counter ""infodemic"" or manipulated information on coronavirus. Over 130 nations have endorsed a ""global call to fight"" the ""infodemic"" relating to the COVID-19 pandemic. ""Infodemics"" can raise the risk of conflict, violence, human rights violations and mass atrocities, a statement said.",Technology,/en/news/india-12-others-lead-initiative-to-counter-covid19-infodemic-1592153392641,"2020-06-14,Sunday"
19,Google donates $2.4 million to support LGBTQ+ movement,"Google has donated over $2.4 million to 70 local LGBTQ+ organisations globally, including its own, via Google.org. It will donate about $1.2 million to the organisations, several of which are based where Google has offices. Google will also donate $1.2 million to The Trevor Project to help it use AI in crisis intervention and suicide prevention among the LGBTQ+ youth. ",Technology,/en/news/google-donates-$24-million-to-support-lgbtq+-movement-1592327307976,"2020-06-16,Tuesday"
20,"Instagram looking into its algorithm, policies for bias against black users","Instagram CEO Adam Mosseri said the company is looking into its algorithm and policy for bias against the black community and underrepresented groups. Instagram will focus on four areas - harassment, account verification, content distribution and algorithmic bias. The platform is ""hearing concern"" about whether it suppresses black voices and if its products and policies treat everyone equally.",Technology,/en/news/instagram-looking-into-its-algorithm-policies-for-bias-against-black-users-1592300766477,"2020-06-16,Tuesday"
21,Grateful for the decision: Apple CEO Tim Cook on US SC ruling on LGBTQ workers,"Apple CEO Tim Cook said he's ""grateful"" for the US Supreme Court's decision that protects LGBTQ workers from job discrimination. ""LGBTQ people deserve equal treatment in the workplace and throughout society and today's decision further underlines that federal law protects their right to fairness,"" he tweeted. The 59-year-old CEO came out as gay in 2014, calling it ""god's greatest gift"".",Technology,/en/news/grateful-for-the-decision-apple-ceo-tim-cook-on-us-sc-ruling-on-lgbtq-workers-1592319773739,"2020-06-16,Tuesday"
22,Swedish telecom firm Sinch to buy India's ACL Mobile for ₹535 crore,"Swedish telecommunications firm Sinch has announced that it is acquiring India's ACL Mobile for about $70 million (₹535 crore). This is the firm's fourth acquisition since March this year after it bought SAP's Digital Interconnect, Wavy and Chatlayer. Delhi-based ACL Mobile was founded in 2000 and helps businesses to interact with customers through SMS, WhatsApp and other channels.",Technology,/en/news/swedish-telecom-firm-sinch-to-buy-indias-acl-mobile-for-₹535-crore-1592316967635,"2020-06-16,Tuesday"
23,Microsoft Teams gets new custom background effects,Microsoft has announced the rollout of new custom background effects in Teams. Users will be able to customise their background by uploading their own images or by choosing one of the collections of backgrounds now available online. Some of the backgrounds that Teams has to offer include a mountain of LEGO building blocks and The Simpsons' living room.,Technology,/en/news/microsoft-teams-gets-new-custom-background-effects-1592069505435,"2020-06-13,Saturday"
24,Jeff Bezos agrees to testify on Amazon's use of seller data before US Congress,"Amazon on Monday told a US congressional panel, which is investigating potential violations of antitrust law by big technology companies, that its CEO Jeff Bezos is willing to testify. The companies under scrutiny include Google, Apple, Amazon and Facebook. In May, the committee demanded Bezos' testimony after a report claimed Amazon uses data from third-party sellers to create competing products.",Technology,/en/news/jeff-bezos-agrees-to-testify-on-amazons-use-of-seller-data-before-us-congress-1592287453255,"2020-06-16,Tuesday"
25,Saliva ban favouring batsmen is bloody storm in a teacup: Greg Chappell,"Ex-India head coach Greg Chappell has said the talks of saliva ban favouring batsmen is a ""bloody storm in a teacup"" but sweat will also be very effective when it comes to shining the ball. ""If they’re wiping perspiration from their forehead...there's sunscreen there. Perspiration will be equal of saliva. I don't see the difference, to be honest,"" he added.",Sports,/en/news/saliva-ban-favouring-batsmen-is-bloody-storm-in-a-teacup-greg-chappell-1592237690092,"2020-06-15,Monday"
26,Virat Kohli sledged me for talking to his ex-girlfriend: Former England batsman Nick Compton,"Ex-England batsman Nick Compton has revealed he was sledged by Virat Kohli during the team's tour of India in 2012.""I just chatted to his [ex-girlfriend] and the word got back I was speaking to her...and I don't think Kohli was...happy with that. He had a few words to say to me every time I walked out to bat,"" Compton said.",Sports,/en/news/virat-kohli-sledged-me-for-talking-to-his-exgirlfriend-former-england-batsman-nick-compton-1592230835362,"2020-06-15,Monday"
27,Sushant Singh Rajput's demise has left Mahi very morose: MS Dhoni's manager,"Former India captain MS Dhoni's manager Arun Pandey has said that the demise of Bollywood actor Sushant Singh Rajput has left Dhoni ""very morose"". Pandey added, ""We can't even believe what has happened. Such a tragic incident."" He further said, ""Sushant was only 34 and a prosperous career was waiting for him, I have no doubt about that.""",Sports,/en/news/sushant-singh-rajputs-demise-has-left-mahi-very-morose-ms-dhonis-manager-1592215269786,"2020-06-15,Monday"
28,"Footballer dies aged 34, family says body sent to 2nd wife they were unaware of","Naresh Aula, who worked at ONGC in Silchar and also played football representing the PSU, died aged 34. ONGC sent his body to Mizoram to a woman named Lal Muan Kui, who was listed as his wife in official records. Naresh's family said they were ""too shocked"" as he was already married to another woman and had a four-year-old daughter.",Sports,/en/news/footballer-dies-aged-34-family-says-body-sent-to-2nd-wife-they-were-unaware-of-1592220937352,"2020-06-15,Monday"
29,Selfish: Nick Kyrgios on reports of US Open being scheduled as planned,"Australian tennis player Nick Kyrgios said that it's ""selfish"" that the US Open is reportedly being scheduled to go ahead as planned amid COVID-19. ""People that live in the US of course are pushing...[for]...the US Open to go ahead...'Selfish'...I'll get my hazmat suit ready for when I travel...and then have to quarantine for two weeks on my return,"" he stated.",Sports,/en/news/selfish-nick-kyrgios-on-reports-of-us-open-being-scheduled-as-planned-1592310401343,"2020-06-16,Tuesday"
30,May consider retirement if pools don't open: Asian Games medallist swimmer Khade,"Swimmer Virdhawal Khade, who won bronze at the 2010 Asian Games, has said that he ""might consider retirement"" if the swimming pools don't open amid COVID-19. ""It is unfair that swimming hasn't been given permission in Unlock 1.0 to open up...Olympics is just a year away...this time is mentally very challenging,"" he stated. Khade has qualified for Tokyo Olympics. ",Sports,/en/news/may-consider-retirement-if-pools-dont-open-asian-games-medallist-swimmer-khade-1592232250103,"2020-06-15,Monday"
31,"IPL 1st priority, Vijay Hazare, Duleep, Deodhar Trophy can be scrapped: Jaffer","Former India cricketer Wasim Jaffer has said that Vijay Hazare, Duleep and Deodhar Trophy can be scrapped this season over COVID-19 and instead full-fledged Ranji Trophy and Syed Mushtaq Ali Trophy should be held. ""Whenever cricket starts, the priority is to have the IPL first...[then] BCCI can look to start the domestic season with the Irani Cup,"" he added. ",Sports,/en/news/ipl-1st-priority-vijay-hazare-duleep-deodhar-trophy-can-be-scrapped-jaffer-1592222265729,"2020-06-15,Monday"
32,I would jump at opportunity to work with Team India: Azharuddin,"Ex-India captain and current President of the Hyderabad Cricket Association Mohammed Azharuddin has said that he would ""jump"" at the opportunity to work with Team India. ""I'm ready to give it a shot...I would jump at it without batting an eyelid,"" he stated. Azharuddin captained India in 47 Tests, winning 14 matches, and 174 ODIs, winning 90 of them. ",Sports,/en/news/i-would-jump-at-opportunity-to-work-with-team-india-azharuddin-1592230614197,"2020-06-15,Monday"
33,Ganguly backed me when I had zero backing: Harbhajan Singh,"On being asked to name the captain who had the most impact on his career, off-spinner Harbhajan Singh said, ""For me, Sourav Ganguly's role was huge."" ""Ganguly backed me when I had zero backing...[he] helped me become a better bowler...grow into a fearless spinner,"" Harbhajan stated. ""[Without Ganguly] I wouldn't have been able to play 100 Tests,"" he added. ",Sports,/en/news/ganguly-backed-me-when-i-had-zero-backing-harbhajan-singh-1592318247686,"2020-06-16,Tuesday"
34,It's not just him: Border on CA CEO resignation over financial crisis,"After Cricket Australia CEO Kevin Roberts resigned amid the financial crisis the body is facing due to COVID-19, ex-Australia captain Allan Border said it's not just Roberts. ""Surely there are other people, particularly the directors of the Australian cricket board...where's their culpability in all of this?"" he added. ""I just can't work out where all the money's gone,"" he stated.",Sports,/en/news/its-not-just-him-border-on-ca-ceo-resignation-over-financial-crisis-1592324993662,"2020-06-16,Tuesday"
35,Dhoni deserves 50% credit for Kuldeep and my success: Chahal,"India leg-spinner Yuzvendra Chahal has said that former India skipper MS Dhoni ""deserves 50% credit"" for the success that he and Kuldeep Yadav have enjoyed in international cricket. ""Whatever wickets I have in international cricket, half of them have come because of his plans,"" Chahal stated. ""If Mahi bhai...[asks]...us to take the DRS...batsman would definitely be out,"" he added. ",Sports,/en/news/dhoni-deserves-50-credit-for-kuldeep-and-my-success-chahal-1592226431746,"2020-06-15,Monday"
36,"They said don't talk to Lara, he'd get bored and get out: Dasgupta","Recalling the 2002 Windies tour, former wicketkeeper-batsman Deep Dasgupta claimed that during a team meeting it was said that Indian fielders should not talk to Brian Lara while he bats. ""They said, 'don't talk to him...he would get bored and get out',"" revealed Dasgupta. ""[While batting] Brian would turn around wanting to talk...and we would...look the other way,"" he added. ",Sports,/en/news/they-said-dont-talk-to-lara-hed-get-bored-and-get-out-dasgupta-1592317206684,"2020-06-16,Tuesday"
37,It's probably the best way to get Baggy Green: Zampa on NSW move,"Adam Zampa, who is yet to make his Test debut for Australia, has termed his move to play for New South Wales as ""best way"" to play Test cricket. ""Nathan [Lyon] has spot...[in Australia Test side]...and solidly for the next three or four years...If I can form a relationship with him...that's probably the best way...to get Baggy Green,"" he stated. ",Sports,/en/news/its-probably-the-best-way-to-get-baggy-green-zampa-on-nsw-move-1592238921725,"2020-06-15,Monday"
38,"Ask any fan, everyone will say intent was not there: Hafeez on Ind-Eng WC match","Pakistan all-rounder Mohammad Hafeez has said that, as a fan, he did not see the match-winning intent from India in the 2019 World Cup match against England. ""The encounter factor was missing where both teams were playing to win,"" he added. This comes after England all-rounder Ben Stokes said that MS Dhoni showed ""little or no intent"" during the match. ",Sports,/en/news/ask-any-fan-everyone-will-say-intent-was-not-there-hafeez-on-indeng-wc-match-1592241221991,"2020-06-15,Monday"
39,I have been a huge fan of his batting: KL Rahul on Rohit Sharma,"India batsman KL Rahul has revealed that he has been a ""huge fan"" of Rohit Sharma's batting. ""Rohit is someone in the team who has given me that sense that he has a lot of faith in me,"" he stated. ""When senior players feel like there is a guy who...can be among...the senior players...that gives...a lot of confidence,"" Rahul added.",Sports,/en/news/i-have-been-a-huge-fan-of-his-batting-kl-rahul-on-rohit-sharma-1592215623440,"2020-06-15,Monday"
40,Appreciate your decision: Akhtar on Wahab's return to Test cricket,"Ex-Pakistan pacer Shoaib Akhtar has praised fast bowler Wahab Riaz's decision to make himself available for the England series. ""Really appreciate your decision Wahab to make yourself available for Test cricket. Keeping Pakistan first. You will do well in English conditions InshAllah,"" tweeted Akhtar. Last year, Wahab had announced that he'll be taking an indefinite break from red-ball cricket. ",Sports,/en/news/appreciate-your-decision-akhtar-on-wahabs-return-to-test-cricket-1592305350449,"2020-06-16,Tuesday"
41,"2007 WC lowest point of my career, Chappell disrupted solid team: Harbhajan","India off-spinner Harbhajan Singh has said that the 2007 ICC World Cup, where India were eliminated in the first round, is ""the lowest point"" of his career. On the then India head coach Greg Chappell, Harbhajan said, ""He disrupted the entire team...I don't know what motive he came with...no one knows how to disrupt a solid team better than him.""",Sports,/en/news/2007-wc-lowest-point-of-my-career-chappell-disrupted-solid-team-harbhajan-1592219451646,"2020-06-15,Monday"
42,Ravindra Jadeja best fielder in the game currently: Steve Smith,"India all-rounder Ravindra Jadeja is the best fielder in the game currently, said Australia batsman Steve Smith while answering questions sent in by fans on Instagram. On being asked to name an Indian batsman who has impressed him, Smith said, ""KL Rahul. Very good player!"" During the session, Smith termed Virat Kohli a ""freak"" when it comes to batting. ",Sports,/en/news/ravindra-jadeja-best-fielder-in-the-game-currently-steve-smith-1592226265916,"2020-06-15,Monday"
43,Didn't elbow Watson on purpose: Gautam Gambhir recalls 2008 incident,"Recalling the 2008 Delhi Test against Australia, former India opener Gautam Gambhir said that he didn't ""elbow"" Australia all-rounder Shane Watson ""on purpose"". ""I didn't do that intentionally...I got banned after that game. A lot of people say that I elbowed him, but I didn't do that purposely,"" he stated. Gambhir slammed a double ton in the first innings.",Sports,/en/news/didnt-elbow-watson-on-purpose-gautam-gambhir-recalls-2008-incident-1592321601224,"2020-06-16,Tuesday"
44,"Lyon best Test spinner, Ashwin best in home conditions: Saqlain Mushtaq","Ex-Pakistan spinner Saqlain Mushtaq, who picked 208 wickets in 49 Tests, has named Australia spinner Nathan Lyon as the ""best spinner in the world"" in Test cricket. ""In limited-overs cricket, India spinner Kuldeep Yadav is really good...he is well educated in a cricketing sense,"" Mushtaq stated. ""Ravichandran Ashwin is also a good bowler but in home conditions,"" he added.",Sports,/en/news/lyon-best-test-spinner-ashwin-best-in-home-conditions-saqlain-mushtaq-1592320329319,"2020-06-16,Tuesday"
45,"Families not to accompany players, officials during Pak-Eng tour","The Pakistan Cricket Board will reportedly not allow players and officials touring England to take their families with them over the COVID-19 threat. ""Even if their families reached and stayed in England separately...[they]...can't interact...in person until the tour is completed,"" a source in the Pakistan board was quoted as saying. Pakistan has named a 29-member squad for the tour. ",Sports,/en/news/families-not-to-accompany-players-officials-during-pakeng-tour-1592303578965,"2020-06-16,Tuesday"
46,Sprinter Hima Das nominated for Khel Ratna by Assam government,"The Assam government has nominated 2018 Asian Games silver medallist sprinter Hima Das for the Rajiv Gandhi Khel Ratna Award 2020. The 20-year-old, who won five international gold medals within three weeks in 2019, has already been conferred with Arjuna Award. Javelin thrower Neeraj Chopra, wrestler Vinesh Phogat, cricketer Rohit Sharma have also been nominated for this year's Khel Ratna.",Sports,/en/news/sprinter-hima-das-nominated-for-khel-ratna-by-assam-government-1592233134381,"2020-06-15,Monday"
47,Babar Azam's calmness gives him edge over Virat Kohli: Saqlain Mushtaq,"Ex-Pakistan spinner Saqlain Mushtaq has said that Pakistan limited-overs captain Babar Azam's calmness gives him ""an edge"" over India skipper Virat Kohli. He, however, also added that both are ""great players, with a great technique, and are mentally very strong"". Earlier, Ex-Pakistan batsman Aamir Sohail had suggested that Babar should show some aggression on the field like Kohli does. ",Sports,/en/news/babar-azams-calmness-gives-him-edge-over-virat-kohli-saqlain-mushtaq-1592240494663,"2020-06-15,Monday"
48,Wasim Akram picks 1999 India tour as his favourite,"Former Pakistan captain Wasim Akram, during a recent podcast, picked the 1999 tour of India as his favourite, stating that he used to enjoy ""Indo-Pak pressure"". ""The first Test was in Chennai. I told my boys, if the stadium is quiet then we are doing our job...we got a standing ovation from the Chennai crowd,"" he added. ",Sports,/en/news/wasim-akram-picks-1999-india-tour-as-his-favourite-1592308936569,"2020-06-16,Tuesday"
49,Pink ball Test in Australia will be challenging: Rohit Sharma,"India opener Rohit Sharma, during a question-answer session on Instagram, said that the pink ball Test match against Australia ""will be challenging"". India are set to play a four-Test series, beginning December 3 in Brisbane and the Day-Night Test is set to take place in Adelaide from December 11. India will also play three ODIs from January 12 to 17. ",Sports,/en/news/pink-ball-test-in-australia-will-be-challenging-rohit-sharma-1592313746699,"2020-06-16,Tuesday"
50,20 Indian soldiers martyred in violent face-off with China at Galwan Valley: Army,The Indian Army has said 17 soldiers who were critically injured in the violent face-off with China at Galwan Valley and exposed to sub-zero temperatures have succumbed to their injuries. It added that a total of 20 Indian soldiers have been martyred. The government had said the face-off happened after Chinese side attempted to unilaterally change status quo.,World,/en/news/20-indian-soldiers-martyred-in-violent-faceoff-with-china-at-galwan-valley-army-1592327947698,"2020-06-16,Tuesday"
51,"US coronavirus death toll surpasses its World War I deaths of 1,16,516","The US death toll from coronavirus has exceeded the number of Americans who died in World War I. Covid-19 has claimed 1,16,526 lives as of Tuesday, according to the tally for the US from Johns Hopkins University while the number of Americans who died in World War I is 1,16,516. Coronavirus has infected over 2.1 million people in the US.",World,/en/news/us-coronavirus-death-toll-surpasses-its-world-war-i-deaths-of-116516-1592371961252,"2020-06-17,Wednesday"
52,"What is Dexamethasone, the 1st drug UK scientists say can reduce COVID-19 deaths?","Oxford University trial shows low-cost steroid drug 'dexamethasone' reduced COVID-19 deaths by up to one-third in severely-ill ventilated patients. Anti-inflammatory medicine dexamethasone is used since early 1960s to treat conditions like rheumatoid arthritis and asthma. A total of 2,104 patients received 6mg dexamethasone for ten days and were compared with 4,321 patients receiving usual care.",World,/en/news/what-is-dexamethasone-the-1st-drug-uk-scientists-say-can-reduce-covid19-deaths-1592324779646,"2020-06-16,Tuesday"
53,Australia borders likely to stay closed until 2021: Official,Australian Trade Minister Simon Birmingham on Wednesday said the country is unlikely to reopen its border to international travellers until next year. He said that they will look to relax entry rules for students and other long-term visitors. He added that a quarantine rule for returning citizens could be applied to international students and other visitors.,World,/en/news/australia-borders-likely-to-stay-closed-until-2021-official-1592375223313,"2020-06-17,Wednesday"
54,"Beijing raises COVID-19 emergency response level, grounds flights","Beijing has upgraded its COVID-19 emergency response from level III to II starting, the second-highest level in a four-tier emergency response level system. Several domestic flights in and out of Beijing were cancelled as officials ramped up attempts to contain a new outbreak of coronavirus. Officials said that all movement in and out of the city will be ""strictly controlled"".",World,/en/news/beijing-raises-covid19-emergency-response-level-grounds-flights-1592376770011,"2020-06-17,Wednesday"
55,"Dexamethasone 1st drug to reduce deaths in patients with severe COVID-19, trial shows","Dexamethasone, a low-cost steroid, reduces the risk of dying from coronavirus by a third in patients on ventilators and by one fifth in other patients receiving oxygen only, a British trial found. ""Dexamethasone is the first drug to be shown to improve survival,"" a chief investigator for the trial said. The scientists described dexamethasone's use as a ""major breakthrough"".",World,/en/news/dexamethasone-1st-drug-to-reduce-deaths-in-patients-with-severe-covid19-trial-shows-1592323265135,"2020-06-16,Tuesday"
56,Livelihoods of over 55 million domestic workers at risk due to COVID-19: ILO,"Over 55 million domestic workers in the world are at significant risk of losing their jobs and income due to lockdown and lack of effective social security coverage, according to the International Labour Organization (ILO). The majority of these domestic workers are women (37 million). Domestic workers (76%) in southeast Asia and the Pacific are at highest risk.",World,/en/news/livelihoods-of-over-55-million-domestic-workers-at-risk-due-to-covid19-ilo-1592381162796,"2020-06-17,Wednesday"
57,Beijing shuts down schools after 106 cases reported in new COVID-19 outbreak,"China's capital Beijing has ordered the closure of all schools following a new outbreak of coronavirus. At least 106 coronavirus cases have been reported so far in the new outbreak, according to the National Health Commission. The new outbreak appears to have started at the Xinfadi wholesale food centre after coronavirus was detected among some business owners and their equipment.",World,/en/news/beijing-shuts-down-schools-after-106-cases-reported-in-new-covid19-outbreak-1592357417117,"2020-06-17,Wednesday"
58,Great news: WHO as 1st drug to reduce deaths in severe COVID-19 cases trialled in UK,"WHO has welcomed the initial clinical trial results from the UK that show ""dexamethasone can be lifesaving for critically-ill coronavirus patients"". ""This is great news...I congratulate the Government of the UK,"" said WHO Director-General Tedros Adhanom Ghebreyesus. Dexamethasone, a low-cost steroid, is the first drug to be shown to improve survival, a chief investigator for the trial said.",World,/en/news/great-news-who-as-1st-drug-to-reduce-deaths-in-severe-covid19-cases-trialled-in-uk-1592369022524,"2020-06-17,Wednesday"
59,Facebook users can now turn off political ads in US: Mark Zuckerberg,"Facebook CEO Mark Zuckerberg has announced that the platform will allow users to stop seeing political advertisements in the US. Facebook originally announced the new option in January but would now add it to the platform as it prepares for the 2020 US presidential election. The option will apply to political, electoral, and social issue advertisements from candidates and groups.",World,/en/news/facebook-users-can-now-turn-off-political-ads-in-us-mark-zuckerberg-1592384436453,"2020-06-17,Wednesday"
60,25-foot-tall Lord Hanuman statue shipped from Telangana installed in US,"A 25-foot-tall statue of Lord Hanuman has been installed in US' Delaware after it was shipped from Telangana's Warangal. Patibanda Sharma, President of Hindu Temple of Delaware Association, said it weighs around 45 tonnes. It is said to be the tallest Lord Hanuman statue in US. Over $1,00,000 dollars have been spent on its crafting and shipping, according to reports.",World,/en/news/25foottall-lord-hanuman-statue-shipped-from-telangana-installed-in-us-1592357411725,"2020-06-17,Wednesday"
